image,path,total_count,count_A,count_B,count_C,fraction_A,fraction_B,fraction_C
origami3_00010.0_00018_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_07_26_book_displacement\origami3_00010.0_00018_1.spm.png,31,27,3,1,0.870968,0.0967742,0.0322581
origami3_00010.0_00019_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_07_26_book_displacement\origami3_00010.0_00019_1.spm.png,46,35,5,6,0.76087,0.108696,0.130435
origami4_00010.0_00020_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_07_26_book_displacement\origami4_00010.0_00020_1.spm.png,156,93,13,50,0.596154,0.0833333,0.320513
origami4_00010.0_00021_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_07_26_book_displacement\origami4_00010.0_00021_1.spm.png,31,20,5,6,0.645161,0.16129,0.193548
origami4_00010.0_00022_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_07_26_book_displacement\origami4_00010.0_00022_1.spm.png,75,58,7,10,0.773333,0.0933333,0.133333
origami5_00010.0_00023_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_07_26_book_displacement\origami5_00010.0_00023_1.spm.png,240,124,20,96,0.516667,0.0833333,0.4
origami5_00010.0_00024_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_07_26_book_displacement\origami5_00010.0_00024_1.spm.png,39,29,6,4,0.74359,0.153846,0.102564
origami5_00010.0_00025_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_07_26_book_displacement\origami5_00010.0_00025_1.spm.png,82,62,7,13,0.756098,0.0853659,0.158537
origami6_00010.0_00026_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_07_26_book_displacement\origami6_00010.0_00026_1.spm.png,192,87,8,97,0.453125,0.0416667,0.505208
origami6_00010.0_00027_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_07_26_book_displacement\origami6_00010.0_00027_1.spm.png,53,43,5,5,0.811321,0.0943396,0.0943396
origami6_00010.0_00028_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_07_26_book_displacement\origami6_00010.0_00028_1.spm.png,113,77,16,20,0.681416,0.141593,0.176991
origami7_00010.0_00029_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_07_26_book_displacement\origami7_00010.0_00029_1.spm.png,137,27,8,102,0.19708,0.0583942,0.744526
origami7_00010.0_00030_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_07_26_book_displacement\origami7_00010.0_00030_1.spm.png,40,21,11,8,0.525,0.275,0.2
origami7_00010.0_00031_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_07_26_book_displacement\origami7_00010.0_00031_1.spm.png,68,27,24,17,0.397059,0.352941,0.25
origami8_00010.0_00032_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_07_26_book_displacement\origami8_00010.0_00032_1.spm.png,176,34,43,99,0.193182,0.244318,0.5625
origami8_00010.0_00033_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_07_26_book_displacement\origami8_00010.0_00033_1.spm.png,41,10,19,12,0.243902,0.463415,0.292683
origami8_00010.0_00034_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_07_26_book_displacement\origami8_00010.0_00034_1.spm.png,62,14,27,21,0.225806,0.435484,0.33871
origami9_00010.0_00035_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_07_26_book_displacement\origami9_00010.0_00035_1.spm.png,185,34,45,106,0.183784,0.243243,0.572973
origami9_00010.0_00036_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_07_26_book_displacement\origami9_00010.0_00036_1.spm.png,35,16,12,7,0.457143,0.342857,0.2
origami9_00010.0_00037_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_07_26_book_displacement\origami9_00010.0_00037_1.spm.png,89,25,35,29,0.280899,0.393258,0.325843
origami10_.0_00016_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\analysis_output\classified_images\origami10_.0_00016_1.spm_20260617_124228\origami10_.0_00016_1.spm.png,54,46,5,3,0.851852,0.0925926,0.0555556
origami10_.0_00016_1.spm_annotated.png,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\analysis_output\classified_images\origami10_.0_00016_1.spm_20260617_124228\origami10_.0_00016_1.spm_annotated.png,56,6,5,45,0.107143,0.0892857,0.803571
origami10_.0_00017_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\analysis_output\classified_images\origami10_.0_00017_1.spm_20260617_124250\origami10_.0_00017_1.spm.png,10,2,0,8,0.2,0,0.8
origami10_.0_00017_1.spm_annotated.png,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\analysis_output\classified_images\origami10_.0_00017_1.spm_20260617_124250\origami10_.0_00017_1.spm_annotated.png,11,0,3,8,0,0.272727,0.727273
origami8_00010.0_00034_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\analysis_output\classified_images\origami8_00010.0_00034_1.spm_20260617_124524\origami8_00010.0_00034_1.spm.png,62,13,28,21,0.209677,0.451613,0.33871
origami8_00010.0_00034_1.spm_annotated.png,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\analysis_output\classified_images\origami8_00010.0_00034_1.spm_20260617_124524\origami8_00010.0_00034_1.spm_annotated.png,59,2,9,48,0.0338983,0.152542,0.813559
