A_to_B_ratio,A_to_C_ratio,B_to_C_ratio,count_A,count_B,count_C,dataset,fraction_A,fraction_B,fraction_C,image,kind,origami_label,path,scale,total
0.3333333333333333,inf,inf,1.0,3.0,0.0,classified_images,0.25,0.75,0.0,origami1_.0_00004_1.spm.png,image,1,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_01_26\origami1_.0_00004_1.spm.png,0.55 um,4.0
3.0,12.0,4.0,12.0,4.0,1.0,classified_images,0.7058823529411765,0.23529411764705882,0.058823529411764705,origami1_.0_00001_1.spm.png,image,1,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_01_26\origami1_.0_00001_1.spm.png,1.67 um,17.0
5.0,inf,inf,10.0,2.0,0.0,classified_images,0.8333333333333334,0.16666666666666666,0.0,origami1_.0_00003_1.spm.png,image,1,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_01_26\origami1_.0_00003_1.spm.png,1.67 um,12.0
2.230769230769231,7.25,3.25,29.0,13.0,4.0,classified_images,0.6304347826086957,0.2826086956521739,0.08695652173913043,origami1_00010.0_00013_1.spm.png,image,1,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_07_26_book_displacement\origami1_00010.0_00013_1.spm.png,3.33 um,46.0
0.43103448275862066,3.125,7.25,50.0,116.0,16.0,classified_images,0.27472527472527475,0.6373626373626373,0.08791208791208792,origami1_00009_1.spm.png,image,1,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_07_26_book_displacement\origami1_00009_1.spm.png,3.33 um,182.0
5.428571428571429,9.5,1.75,76.0,14.0,8.0,classified_images,0.7755102040816326,0.14285714285714285,0.08163265306122448,origami1_.0_00002_1.spm.png,image,1,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_01_26\origami1_.0_00002_1.spm.png,5 um,98.0
13.0,3.25,0.25,39.0,3.0,12.0,classified_images,0.7222222222222222,0.05555555555555555,0.2222222222222222,origami1_00010.0_00011_1.spm.png,image,1,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_07_26_book_displacement\origami1_00010.0_00011_1.spm.png,5 um,54.0
5.75,1.15,0.2,92.0,16.0,80.0,classified_images,0.48936170212765956,0.0851063829787234,0.425531914893617,origami1_.0_00005_1.spm.png,image,1,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_01_26\origami1_.0_00005_1.spm.png,10 um,188.0
0.5789473684210527,0.039711191335740074,0.06859205776173286,11.0,19.0,277.0,classified_images,0.035830618892508145,0.06188925081433225,0.9022801302931596,origami1_00008_1.spm.png,image,1,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_07_26_book_displacement\origami1_00008_1.spm.png,10 um,307.0
6.818181818181818,0.5514705882352942,0.08088235294117647,75.0,11.0,136.0,classified_images,0.33783783783783783,0.04954954954954955,0.6126126126126126,origami1_00010.0_00012_1.spm.png,image,1,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_07_26_book_displacement\origami1_00010.0_00012_1.spm.png,10 um,222.0
