A_to_B_ratio,count_A,count_B,count_C,fraction_A,fraction_B,image,kind,origami_label,path,total
7.0,35.0,5.0,6.0,0.7608695652173914,0.10869565217391304,origami3_00010.0_00019_1.spm.png,image,3,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_07_26_book_displacement\origami3_00010.0_00019_1.spm.png,46.0
7.153846153846154,93.0,13.0,50.0,0.5961538461538461,0.08333333333333333,origami4_00010.0_00020_1.spm.png,image,4,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_07_26_book_displacement\origami4_00010.0_00020_1.spm.png,156.0
4.0,20.0,5.0,6.0,0.6451612903225806,0.16129032258064516,origami4_00010.0_00021_1.spm.png,image,4,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_07_26_book_displacement\origami4_00010.0_00021_1.spm.png,31.0
8.285714285714286,58.0,7.0,10.0,0.7733333333333333,0.09333333333333334,origami4_00010.0_00022_1.spm.png,image,4,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_07_26_book_displacement\origami4_00010.0_00022_1.spm.png,75.0
6.2,124.0,20.0,96.0,0.5166666666666667,0.08333333333333333,origami5_00010.0_00023_1.spm.png,image,5,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_07_26_book_displacement\origami5_00010.0_00023_1.spm.png,240.0
4.833333333333333,29.0,6.0,4.0,0.7435897435897436,0.15384615384615385,origami5_00010.0_00024_1.spm.png,image,5,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_07_26_book_displacement\origami5_00010.0_00024_1.spm.png,39.0
8.857142857142858,62.0,7.0,13.0,0.7560975609756098,0.08536585365853659,origami5_00010.0_00025_1.spm.png,image,5,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_07_26_book_displacement\origami5_00010.0_00025_1.spm.png,82.0
10.875,87.0,8.0,97.0,0.453125,0.041666666666666664,origami6_00010.0_00026_1.spm.png,image,6,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_07_26_book_displacement\origami6_00010.0_00026_1.spm.png,192.0
8.6,43.0,5.0,5.0,0.8113207547169812,0.09433962264150944,origami6_00010.0_00027_1.spm.png,image,6,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_07_26_book_displacement\origami6_00010.0_00027_1.spm.png,53.0
4.8125,77.0,16.0,20.0,0.6814159292035398,0.1415929203539823,origami6_00010.0_00028_1.spm.png,image,6,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_07_26_book_displacement\origami6_00010.0_00028_1.spm.png,113.0
3.375,27.0,8.0,102.0,0.19708029197080293,0.058394160583941604,origami7_00010.0_00029_1.spm.png,image,7,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_07_26_book_displacement\origami7_00010.0_00029_1.spm.png,137.0
1.9090909090909092,21.0,11.0,8.0,0.525,0.275,origami7_00010.0_00030_1.spm.png,image,7,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_07_26_book_displacement\origami7_00010.0_00030_1.spm.png,40.0
1.125,27.0,24.0,17.0,0.39705882352941174,0.35294117647058826,origami7_00010.0_00031_1.spm.png,image,7,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_07_26_book_displacement\origami7_00010.0_00031_1.spm.png,68.0
0.7906976744186046,34.0,43.0,99.0,0.19318181818181818,0.24431818181818182,origami8_00010.0_00032_1.spm.png,image,8,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_07_26_book_displacement\origami8_00010.0_00032_1.spm.png,176.0
0.5263157894736842,10.0,19.0,12.0,0.24390243902439024,0.4634146341463415,origami8_00010.0_00033_1.spm.png,image,8,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_07_26_book_displacement\origami8_00010.0_00033_1.spm.png,41.0
0.5185185185185185,14.0,27.0,21.0,0.22580645161290322,0.43548387096774194,origami8_00010.0_00034_1.spm.png,image,8,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_07_26_book_displacement\origami8_00010.0_00034_1.spm.png,62.0
0.7555555555555555,34.0,45.0,106.0,0.1837837837837838,0.24324324324324326,origami9_00010.0_00035_1.spm.png,image,9,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_07_26_book_displacement\origami9_00010.0_00035_1.spm.png,185.0
1.3333333333333333,16.0,12.0,7.0,0.45714285714285713,0.34285714285714286,origami9_00010.0_00036_1.spm.png,image,9,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_07_26_book_displacement\origami9_00010.0_00036_1.spm.png,35.0
0.7142857142857143,25.0,35.0,29.0,0.2808988764044944,0.39325842696629215,origami9_00010.0_00037_1.spm.png,image,9,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_07_26_book_displacement\origami9_00010.0_00037_1.spm.png,89.0
9.2,46.0,5.0,3.0,0.8518518518518519,0.09259259259259259,origami10_.0_00016_1.spm.png,image,10,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\analysis_output\classified_images\origami10_.0_00016_1.spm_20260617_124228\origami10_.0_00016_1.spm.png,54.0
1.2,6.0,5.0,45.0,0.10714285714285714,0.08928571428571429,origami10_.0_00016_1.spm_annotated.png,image,10,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\analysis_output\classified_images\origami10_.0_00016_1.spm_20260617_124228\origami10_.0_00016_1.spm_annotated.png,56.0
inf,2.0,0.0,8.0,0.2,0.0,origami10_.0_00017_1.spm.png,image,10,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\analysis_output\classified_images\origami10_.0_00017_1.spm_20260617_124250\origami10_.0_00017_1.spm.png,10.0
0.0,0.0,3.0,8.0,0.0,0.2727272727272727,origami10_.0_00017_1.spm_annotated.png,image,10,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\analysis_output\classified_images\origami10_.0_00017_1.spm_20260617_124250\origami10_.0_00017_1.spm_annotated.png,11.0
0.4642857142857143,13.0,28.0,21.0,0.20967741935483872,0.45161290322580644,origami8_00010.0_00034_1.spm.png,image,8,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\analysis_output\classified_images\origami8_00010.0_00034_1.spm_20260617_124524\origami8_00010.0_00034_1.spm.png,62.0
0.2222222222222222,2.0,9.0,48.0,0.03389830508474576,0.15254237288135594,origami8_00010.0_00034_1.spm_annotated.png,image,8,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\analysis_output\classified_images\origami8_00010.0_00034_1.spm_20260617_124524\origami8_00010.0_00034_1.spm_annotated.png,59.0
