date_folder,image,path,pixels_per_um,total_detected,A,B,C
06_01_26,origami10_.0_00016_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_01_26\origami10_.0_00016_1.spm.png,104.2,54,47,4,3
06_01_26,origami10_.0_00017_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_01_26\origami10_.0_00017_1.spm.png,313.825,10,10,0,0
06_01_26,origami10_.0_00018_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_01_26\origami10_.0_00018_1.spm.png,52.1,115,93,4,18
06_01_26,origami10f_.0_00019_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_01_26\origami10f_.0_00019_1.spm.png,52.1,293,179,5,109
06_01_26,origami10f_.0_00020_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_01_26\origami10f_.0_00020_1.spm.png,156.913,54,50,2,2
06_01_26,origami10f_.0_00021_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_01_26\origami10f_.0_00021_1.spm.png,472.584,9,8,1,0
06_01_26,origami10f_.0_00022_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_01_26\origami10f_.0_00022_1.spm.png,1414.99,0,0,0,0
06_01_26,origami12f_.0_00023_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_01_26\origami12f_.0_00023_1.spm.png,52.1,264,152,1,111
06_01_26,origami12f_.0_00024_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_01_26\origami12f_.0_00024_1.spm.png,155.995,52,45,1,6
06_01_26,origami12f_.0_00025_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_01_26\origami12f_.0_00025_1.spm.png,52.1,210,133,4,73
06_01_26,origami1_.0_00001_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_01_26\origami1_.0_00001_1.spm.png,313.825,17,12,4,1
06_01_26,origami1_.0_00002_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_01_26\origami1_.0_00002_1.spm.png,104.2,98,76,14,8
06_01_26,origami1_.0_00003_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_01_26\origami1_.0_00003_1.spm.png,311.991,12,10,2,0
06_01_26,origami1_.0_00004_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_01_26\origami1_.0_00004_1.spm.png,939.643,4,1,3,0
06_01_26,origami1_.0_00005_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_01_26\origami1_.0_00005_1.spm.png,52.1,188,92,16,80
06_01_26,origami2_.0_00032_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_01_26\origami2_.0_00032_1.spm.png,52.1,192,117,15,60
06_01_26,origami2_.0_00033_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_01_26\origami2_.0_00033_1.spm.png,155.995,34,26,5,3
06_01_26,origami3_.0_00034_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_01_26\origami3_.0_00034_1.spm.png,52.1,208,130,12,66
06_01_26,origami4_.0_00006_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_01_26\origami4_.0_00006_1.spm.png,52.1,243,115,21,107
06_01_26,origami4_.0_00007_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_01_26\origami4_.0_00007_1.spm.png,156.913,55,30,15,10
06_01_26,origami4_.0_00008_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_01_26\origami4_.0_00008_1.spm.png,472.584,88,37,51,0
06_01_26,origami4_.0_00009_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_01_26\origami4_.0_00009_1.spm.png,104.2,87,56,23,8
06_01_26,origami4_.0_00010_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_01_26\origami4_.0_00010_1.spm.png,313.825,12,7,5,0
06_01_26,origami5_.0_00035_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\afm_analysis\06_01_26\origami5_.0_00035_1.spm.png,52.1,195,96,17,82
