date_folder,image,path,total_detected,A,B,C
06_01_26,origami9_.0_00027_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\06_01_26\origami9_.0_00027_1.spm.png,131,19,112,0
06_01_26,origami9_.0_00028_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\06_01_26\origami9_.0_00028_1.spm.png,44,7,37,0
06_07_26_book_displacement,origami1_00008_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\06_07_26_book_displacement\origami1_00008_1.spm.png,305,45,260,0
06_07_26_book_displacement,origami1_00009_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\06_07_26_book_displacement\origami1_00009_1.spm.png,162,44,118,0
06_07_26_book_displacement,origami1_00010.0_00011_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\06_07_26_book_displacement\origami1_00010.0_00011_1.spm.png,54,26,28,0
06_07_26_book_displacement,origami1_00010.0_00012_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\06_07_26_book_displacement\origami1_00010.0_00012_1.spm.png,222,54,168,0
06_07_26_book_displacement,origami1_00010.0_00013_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\06_07_26_book_displacement\origami1_00010.0_00013_1.spm.png,41,13,28,0
06_07_26_book_displacement,origami2_00010.0_00014_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\06_07_26_book_displacement\origami2_00010.0_00014_1.spm.png,171,44,127,0
06_07_26_book_displacement,origami2_00010.0_00015_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\06_07_26_book_displacement\origami2_00010.0_00015_1.spm.png,38,13,25,0
06_07_26_book_displacement,origami2_00010.0_00016_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\06_07_26_book_displacement\origami2_00010.0_00016_1.spm.png,73,38,35,0
06_07_26_book_displacement,origami3_00010.0_00017_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\06_07_26_book_displacement\origami3_00010.0_00017_1.spm.png,137,52,85,0
06_07_26_book_displacement,origami3_00010.0_00018_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\06_07_26_book_displacement\origami3_00010.0_00018_1.spm.png,30,16,14,0
06_07_26_book_displacement,origami3_00010.0_00019_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\06_07_26_book_displacement\origami3_00010.0_00019_1.spm.png,45,32,13,0
06_07_26_book_displacement,origami4_00010.0_00020_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\06_07_26_book_displacement\origami4_00010.0_00020_1.spm.png,156,58,98,0
06_07_26_book_displacement,origami4_00010.0_00021_1.spm.png,C:\Users\New user\Desktop\book_folding_analysis\06_07_26_book_displacement\origami4_00010.0_00021_1.spm.png,25,18,7,0
