date_folder,image,path,pixels_per_um,total_detected,A,B,C
06_01_26,origami7_.0_00013_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_01_26/origami7_.0_00013_1.spm.png,472.584,8,2,6,0
06_01_26,origami7_.0_00014_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_01_26/origami7_.0_00014_1.spm.png,104.2,116,17,83,16
06_01_26,origami7_.0_00015_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_01_26/origami7_.0_00015_1.spm.png,313.825,17,2,12,3
06_01_26,origami8_.0_00029_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_01_26/origami8_.0_00029_1.spm.png,52.1,349,93,197,59
06_01_26,origami8_.0_00030_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_01_26/origami8_.0_00030_1.spm.png,155.995,58,11,42,5
06_01_26,origami9_.0_00027_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_01_26/origami9_.0_00027_1.spm.png,52.1,427,99,284,44
06_01_26,origami9_.0_00028_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_01_26/origami9_.0_00028_1.spm.png,156.913,51,11,38,2
06_01_26,origami10_.0_00016_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_01_26/origami10_.0_00016_1.spm.png,104.2,54,47,4,3
06_01_26,origami10_.0_00017_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_01_26/origami10_.0_00017_1.spm.png,313.825,11,11,0,0
06_01_26,origami10_.0_00018_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_01_26/origami10_.0_00018_1.spm.png,52.1,187,152,17,18
06_01_26,origami10f_.0_00019_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_01_26/origami10f_.0_00019_1.spm.png,52.1,476,336,31,109
06_01_26,origami10f_.0_00020_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_01_26/origami10f_.0_00020_1.spm.png,156.913,55,51,2,2
