date_folder,image,path,pixels_per_um,total_detected,A,B,C
06_07_26_book_displacement,origami1_00010.0_00011_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_07_26_book_displacement/origami1_00010.0_00011_1.spm.png,104.2,54,39,3,12
06_07_26_book_displacement,origami1_00010.0_00013_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_07_26_book_displacement/origami1_00010.0_00013_1.spm.png,156.913,30,26,1,3
06_07_26_book_displacement,origami2_00010.0_00014_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_07_26_book_displacement/origami2_00010.0_00014_1.spm.png,52.1,288,216,41,31
06_07_26_book_displacement,origami2_00010.0_00015_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_07_26_book_displacement/origami2_00010.0_00015_1.spm.png,156.913,41,33,5,3
06_07_26_book_displacement,origami2_00010.0_00016_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_07_26_book_displacement/origami2_00010.0_00016_1.spm.png,104.2,74,63,7,4
06_07_26_book_displacement,origami3_00010.0_00017_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_07_26_book_displacement/origami3_00010.0_00017_1.spm.png,52.1,235,177,29,29
06_07_26_book_displacement,origami3_00010.0_00018_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_07_26_book_displacement/origami3_00010.0_00018_1.spm.png,155.995,31,27,3,1
06_07_26_book_displacement,origami3_00010.0_00019_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_07_26_book_displacement/origami3_00010.0_00019_1.spm.png,104.2,49,39,7,3
06_07_26_book_displacement,origami4_00010.0_00020_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_07_26_book_displacement/origami4_00010.0_00020_1.spm.png,52.1,241,166,47,28
06_07_26_book_displacement,origami4_00010.0_00021_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_07_26_book_displacement/origami4_00010.0_00021_1.spm.png,155.995,32,25,5,2
06_07_26_book_displacement,origami4_00010.0_00022_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_07_26_book_displacement/origami4_00010.0_00022_1.spm.png,104.2,77,62,8,7
06_07_26_book_displacement,origami5_00010.0_00023_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_07_26_book_displacement/origami5_00010.0_00023_1.spm.png,52.1,399,273,74,52
06_07_26_book_displacement,origami5_00010.0_00024_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_07_26_book_displacement/origami5_00010.0_00024_1.spm.png,156.913,40,31,7,2
06_07_26_book_displacement,origami5_00010.0_00025_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_07_26_book_displacement/origami5_00010.0_00025_1.spm.png,104.2,88,68,9,11
06_07_26_book_displacement,origami6_00010.0_00026_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_07_26_book_displacement/origami6_00010.0_00026_1.spm.png,52.1,422,298,61,63
06_07_26_book_displacement,origami6_00010.0_00027_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_07_26_book_displacement/origami6_00010.0_00027_1.spm.png,156.913,54,44,6,4
06_07_26_book_displacement,origami6_00010.0_00028_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_07_26_book_displacement/origami6_00010.0_00028_1.spm.png,104.2,114,84,14,16
06_07_26_book_displacement,origami7_00010.0_00029_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_07_26_book_displacement/origami7_00010.0_00029_1.spm.png,52.1,311,135,104,72
06_07_26_book_displacement,origami7_00010.0_00030_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_07_26_book_displacement/origami7_00010.0_00030_1.spm.png,156.913,40,21,11,8
06_07_26_book_displacement,origami7_00010.0_00031_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_07_26_book_displacement/origami7_00010.0_00031_1.spm.png,104.2,70,27,27,16
06_07_26_book_displacement,origami8_00010.0_00032_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_07_26_book_displacement/origami8_00010.0_00032_1.spm.png,52.1,288,90,117,81
06_07_26_book_displacement,origami8_00010.0_00033_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_07_26_book_displacement/origami8_00010.0_00033_1.spm.png,156.913,42,11,20,11
06_07_26_book_displacement,origami8_00010.0_00034_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_07_26_book_displacement/origami8_00010.0_00034_1.spm.png,104.2,64,17,28,19
06_07_26_book_displacement,origami9_00010.0_00035_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_07_26_book_displacement/origami9_00010.0_00035_1.spm.png,52.1,274,83,115,76
06_07_26_book_displacement,origami9_00010.0_00036_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_07_26_book_displacement/origami9_00010.0_00036_1.spm.png,156.913,36,16,13,7
06_07_26_book_displacement,origami9_00010.0_00037_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_07_26_book_displacement/origami9_00010.0_00037_1.spm.png,104.2,91,39,36,16
